Data ;Jogo 1;Jogo 2;Jogo 3;Jogo 4;Jogo 5;Jogo 6;Jogo 7;Jogo 8;Jogo 9;Jogo 10;Jogo 11;Jogo 12;Jogo 13;Jogo 14
11/08/2003;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 1
18/08/2003;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 2
25/08/2003;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio
01/09/2003;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 2
08/09/2003;Coluna 2;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna 1
15/09/2003;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1
22/09/2003;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio
29/09/2003;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1
06/10/2003;Coluna 2;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 2
13/10/2003;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna do meio
20/10/2003;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 2
27/10/2003;Coluna 1;Coluna 2;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna 2;Coluna do meio;Coluna 1;Coluna do meio;Coluna 1;Coluna do meio
03/11/2003;Coluna 1;Coluna 2;Coluna 1;Coluna do meio;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna do meio
10/11/2003;Coluna 2;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2
24/11/2003;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1
01/12/2003;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 2;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2
08/12/2003;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 1;Coluna do meio;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 2;Coluna 2
15/12/2003;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna 1;Coluna 1;Coluna 2;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 2
05/01/2004;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna 1;Coluna 1;Coluna do meio;Coluna do meio;Coluna do meio;Coluna 2;Coluna do meio;Coluna 2;Coluna 1;Coluna 1
