Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Time Coraá∆o;;;;;;;;;;;;;;;;;
03/12/2011;1;7;18;27;39;52;70;MOTO CLUBE/MA;;;;;;;;;;;;;;;;;
07/12/2011;40;56;59;65;68;73;79;OLARIA/RJ;;;;;;;;;;;;;;;;;
10/12/2011;5;15;40;41;50;51;54;LONDRINA/PR;;;;;;;;;;;;;;;;;
17/12/2011;4;6;10;14;18;40;78;TREZE/PB;;;;;;;;;;;;;;;;;
21/12/2011;11;48;52;58;60;66;70;P.  DESPORTOS/SP;;;;;;;;;;;;;;;;;
24/12/2011;5;9;26;34;36;60;78;GR“MIO/RS;;;;;;;;;;;;;;;;;
28/12/2011;8;18;24;41;57;58;75;JUVENTUS/SP;;;;;;;;;;;;;;;;;
31/12/2011;31;33;52;57;59;60;71;BARUERI/SP;;;;;;;;;;;;;;;;;
04/01/2012;3;7;22;23;47;60;67;NµUTICO/PE;;;;;;;;;;;;;;;;;
07/01/2012;7;8;16;18;54;60;72;ATHLêTICO/PR;;;;;;;;;;;;;;;;;
11/01/2012;6;18;34;49;65;74;75;IPATINGA/MG;;;;;;;;;;;;;;;;;
14/01/2012;7;9;11;35;61;72;74;RORAIMA/RR;;;;;;;;;;;;;;;;;
18/01/2012;5;22;23;40;46;48;80;RIVER/PI;;;;;;;;;;;;;;;;;
21/01/2012;7;17;23;26;40;72;79;U BARBARENSE;;;;;;;;;;;;;;;;;
25/01/2012;11;18;28;36;40;66;69;GUARANI/SP;;;;;;;;;;;;;;;;;
28/01/2012;7;9;37;47;50;63;73;PARANµ/PR;;;;;;;;;;;;;;;;;
01/02/2012;8;11;25;26;47;67;71;PORT DESPORT;;;;;;;;;;;;;;;;;
04/02/2012;6;27;30;38;39;40;61;PONTE PRETA/SP;;;;;;;;;;;;;;;;;
08/02/2012;1;18;22;26;36;50;55;PALMEIRAS/SP;;;;;;;;;;;;;;;;;
11/02/2012;3;32;33;52;54;56;75;JI-PARANµ / RO;;;;;;;;;;;;;;;;;
15/02/2012;4;21;37;45;47;58;64;TUNA LUSO/PA;;;;;;;;;;;;;;;;;
